,Flight Date,IATA,State,Total Landed Flights
0,10/21/2020,JFK,New York,293
1,10/21/2020,SAN,California,37
2,10/21/2020,DFW,Texas,624
3,10/19/2020,JFK,New York,590
4,10/19/2020,SAN,California,183
5,10/19/2020,DFW,Texas,1341
6,10/18/2020,JFK,New York,594
7,10/18/2020,SAN,California,197
8,10/18/2020,DFW,Texas,1539
9,10/17/2020,JFK,New York,840
10,10/17/2020,SAN,California,210
11,10/17/2020,DFW,Texas,1547
12,10/16/2020,JFK,New York,821
13,10/16/2020,SAN,California,206
14,10/16/2020,DFW,Texas,1563
15,10/15/2020,JFK,New York,744
16,10/15/2020,SAN,California,192
17,10/15/2020,DFW,Texas,1543
18,10/14/2020,JFK,New York,832
19,10/14/2020,SAN,California,213
20,10/14/2020,DFW,Texas,1560
