Date,Month Abbr,State,Number of Flights,Daily Positve Increase,Daily Death Increase,Expected Positives
7/16/2020,Jul,Arizona,318,3259,58,690.7238
7/16/2020,Jul,California,1225,8544,118,2406.6771
7/16/2020,Jul,Colorado,634,469,7,1288.5642
7/16/2020,Jul,Florida,889,13965,156,1770.9987
7/16/2020,Jul,Georgia,1819,3441,13,3530.4657
7/16/2020,Jul,Illinois,1915,1257,25,3712.0881
7/16/2020,Jul,Maryland,223,648,6,510.9933
7/16/2020,Jul,Massachuttces,488,234,12,1012.3468
7/16/2020,Jul,Michigan,619,926,18,1260.1857
7/16/2020,Jul,Minniesota,429,605,8,900.7247
7/16/2020,Jul,Nevada,235,1447,8,533.6961
7/16/2020,Jul,New Jersey,417,223,31,878.0219
7/16/2020,Jul,New York,750,769,11,1508.0246
7/16/2020,Jul,North Carolina,791,2160,20,1585.5925
7/16/2020,Jul,Pennsylvania,489,781,16,1014.2387
7/16/2020,Jul,Texas,2187,10291,129,4226.6849
7/16/2020,Jul,Utah,354,954,1,758.8322
7/16/2020,Jul,Washington,611,825,17,1245.0505
7/17/2020,Jul,Arizona,328,3910,91,709.6428
7/17/2020,Jul,California,1310,9986,130,2567.4886
7/17/2020,Jul,Colorado,654,571,14,1326.4022
7/17/2020,Jul,Florida,903,11466,130,1797.4853
7/17/2020,Jul,Georgia,1884,3908,28,3653.4392
7/17/2020,Jul,Illinois,1933,1427,13,3746.1423
7/17/2020,Jul,Maryland,225,707,12,514.7771
7/17/2020,Jul,Massachuttces,500,298,22,1035.0496
7/17/2020,Jul,Michigan,614,754,7,1250.7262
7/17/2020,Jul,Minniesota,427,666,7,896.9409
7/17/2020,Jul,Nevada,242,1380,11,546.9394
7/17/2020,Jul,New Jersey,407,50,19,859.1029
7/17/2020,Jul,New York,767,776,10,1540.1869
7/17/2020,Jul,North Carolina,798,2051,18,1598.8358
7/17/2020,Jul,Pennsylvania,491,1032,19,1018.0225
7/17/2020,Jul,Texas,2274,14916,174,4391.2802
7/17/2020,Jul,Utah,372,727,1,792.8864
7/17/2020,Jul,Washington,564,878,6,1156.1312
7/18/2020,Jul,Arizona,311,2742,147,677.4805
7/18/2020,Jul,California,1215,9199,120,2387.7581
