Date,Month,State,Number of Flights,Positive,Deaths,Total Tested
2020-10-13,10,Maryland,233,132343,4012,2934933
2020-10-14,10,Maryland,238,132918,4022,2956824
2020-10-15,10,Maryland,270,133548,4028,2985460
2020-10-16,10,Maryland,265,134329,4032,3013107
2020-10-17,10,Maryland,12,135127,4036,3049634
2020-10-18,10,Maryland,258,135657,4037,3079162
2020-10-19,10,Maryland,240,136154,4041,3103833
2020-10-20,10,Maryland,232,136744,4050,3121799
2020-10-21,10,Maryland,223,137236,4058,3138875
2020-10-22,10,Maryland,198,137979,4070,3169302
2020-10-13,10,North Carolina,544,234481,3816,3444583
2020-10-14,10,North Carolina,541,236407,3856,3467235
2020-10-15,10,North Carolina,640,238939,3874,3500763
2020-10-16,10,North Carolina,657,241623,3910,3539731
2020-10-17,10,North Carolina,25,243725,3929,3582572
2020-10-18,10,North Carolina,635,246028,3934,3617258
2020-10-19,10,North Carolina,649,247172,3939,3648364
2020-10-20,10,North Carolina,535,248750,3992,3671793
2020-10-21,10,North Carolina,550,250592,4032,3692043
2020-10-22,10,North Carolina,523,252992,4082,3727675
2020-10-13,10,Illinois,1518,327781,9272,6414292
2020-10-14,10,Illinois,1143,330643,9320,6466961
2020-10-15,10,Illinois,1733,334658,9373,6534047
2020-10-16,10,Illinois,1931,339761,9425,6622355
2020-10-17,10,Illinois,67,343390,9452,6699844
2020-10-18,10,Illinois,1996,347635,9474,6779140
2020-10-19,10,Illinois,1861,350748,9496,6827824
2020-10-20,10,Illinois,1510,354462,9537,6886901
2020-10-21,10,Illinois,1149,358804,9605,6953692
2020-10-22,10,Illinois,1503,363746,9647,7034669
2020-10-13,10,Texas,1566,800415,16622,7012023
2020-10-13,10,Texas,630,800415,16622,7012023
2020-10-14,10,Texas,1559,805082,16717,7067676
2020-10-14,10,Texas,714,805082,16717,7067676
2020-10-15,10,Texas,1670,809808,16812,7111890
2020-10-15,10,Texas,753,809808,16812,7111890
2020-10-16,10,Texas,1683,815678,16903,7211046
2020-10-16,10,Texas,739,815678,16903,7211046
2020-10-17,10,Texas,61,820563,16984,7274236
2020-10-17,10,Texas,16,820563,16984,7274236
2020-10-18,10,Texas,1748,823779,17014,7326919
2020-10-18,10,Texas,750,823779,17014,7326919
2020-10-19,10,Texas,1810,825673,17022,7384043
2020-10-19,10,Texas,707,825673,17022,7384043
2020-10-20,10,Texas,1488,833557,17087,7444326
2020-10-20,10,Texas,602,833557,17087,7444326
2020-10-21,10,Texas,1405,838809,17201,7474874
2020-10-21,10,Texas,640,838809,17201,7474874
2020-10-22,10,Texas,1306,845100,17286,7532717
2020-10-22,10,Texas,616,845100,17286,7532717
2020-10-13,10,Colorado,798,79037,1998,1571329
2020-10-14,10,Colorado,891,80085,2009,1588632
2020-10-15,10,Colorado,961,80777,2025,1602956
2020-10-16,10,Colorado,983,81918,2029,1625527
2020-10-17,10,Colorado,142,83230,2042,1646557
2020-10-18,10,Colorado,949,84369,2042,1668053
2020-10-19,10,Colorado,910,85302,2042,1689313
2020-10-20,10,Colorado,763,86374,2051,1708450
2020-10-21,10,Colorado,879,87582,2060,1724038
2020-10-22,10,Colorado,661,88849,2066,1742583
2020-10-13,10,Michigan,620,152862,7255,4099559
2020-10-14,10,Michigan,609,154455,7268,4129412
2020-10-15,10,Michigan,759,156913,7302,4171989
2020-10-16,10,Michigan,685,159119,7317,4225410
2020-10-17,10,Michigan,13,159119,7317,4270757
2020-10-18,10,Michigan,685,159119,7317,4270757
2020-10-19,10,Michigan,735,164123,7363,4335624
2020-10-20,10,Michigan,613,165994,7383,4385791
2020-10-21,10,Michigan,606,167872,7418,4420831
2020-10-22,10,Michigan,563,170076,7464,4468863
2020-10-13,10,Florida,220,738749,15722,5593424
2020-10-13,10,Florida,289,738749,15722,5593424
2020-10-13,10,Florida,272,738749,15722,5593424
2020-10-14,10,Florida,233,741632,15788,5615247
2020-10-14,10,Florida,319,741632,15788,5615247
2020-10-14,10,Florida,303,741632,15788,5615247
2020-10-15,10,Florida,287,744988,15932,5643521
2020-10-15,10,Florida,484,744988,15932,5643521
2020-10-15,10,Florida,391,744988,15932,5643521
2020-10-16,10,Florida,298,748437,16030,5673685
2020-10-16,10,Florida,428,748437,16030,5673685
2020-10-16,10,Florida,404,748437,16030,5673685
2020-10-17,10,Florida,9,752481,16118,5704100
2020-10-17,10,Florida,36,752481,16118,5704100
2020-10-17,10,Florida,21,752481,16118,5704100
