Date,Month Abbr,State,Number of Flights,Positive,Deaths,Total Tested
2020-08-24,Aug,Maryland,281,104669,3694,1794703
2020-08-25,Aug,Maryland,254,105046,3707,1807573
2020-08-26,Aug,Maryland,263,105486,3717,1819950
2020-08-27,Aug,Maryland,289,106063,3722,1841425
2020-08-28,Aug,Maryland,252,106664,3736,1868927
2020-08-29,Aug,Maryland,265,107294,3746,1894410
2020-08-30,Aug,Maryland,266,107791,3752,1919515
2020-08-31,Aug,Maryland,287,108249,3755,1938846
2020-08-24,Aug,North Carolina,640,156396,2535,2087695
2020-08-25,Aug,North Carolina,473,157741,2570,2102359
2020-08-26,Aug,North Carolina,485,158985,2606,2121001
2020-08-27,Aug,North Carolina,645,161076,2630,2152725
2020-08-28,Aug,North Carolina,624,162491,2652,2182891
2020-08-29,Aug,North Carolina,635,165076,2683,2218149
2020-08-30,Aug,North Carolina,563,166127,2692,2243273
2020-08-31,Aug,North Carolina,606,167313,2702,2256172
2020-08-24,Aug,Illinois,2060,223207,8097,3741608
2020-08-25,Aug,Illinois,1622,224887,8126,3782467
2020-08-26,Aug,Illinois,1821,227044,8163,3832829
2020-08-27,Aug,Illinois,1769,228751,8186,3877339
2020-08-28,Aug,Illinois,1897,231185,8206,3926007
2020-08-29,Aug,Illinois,1833,233065,8217,3974791
2020-08-30,Aug,Illinois,1865,235057,8228,4018484
2020-08-31,Aug,Illinois,2023,236725,8235,4065863
2020-08-24,Aug,Texas,1665,580384,11395,4670875
2020-08-24,Aug,Texas,749,580384,11395,4670875
2020-08-25,Aug,Texas,1426,586730,11576,4724559
2020-08-25,Aug,Texas,604,586730,11576,4724559
2020-08-26,Aug,Texas,1345,592137,11805,4764640
2020-08-26,Aug,Texas,188,592137,11805,4764640
2020-08-27,Aug,Texas,1590,597737,12070,4793914
2020-08-27,Aug,Texas,467,597737,12070,4793914
2020-08-28,Aug,Texas,1636,601768,12266,4842362
2020-08-28,Aug,Texas,704,601768,12266,4842362
