date,state,infected,landed flights,month
3/24/2020,GU,32,3,December
3/24/2020,AK,36,14,February
3/24/2020,DC,137,21,June
3/24/2020,DE,91,23,August
3/24/2020,AR,218,44,September
3/24/2020,AL,215,48,August
3/24/2020,AZ,357,92,August
3/24/2020,CO,720,129,May
3/24/2020,CT,618,203,February
3/24/2020,FL,1412,241,February
3/24/2020,GA,1026,254,January
3/24/2020,CA,2102,369,October
3/25/2020,GU,37,5,October
3/25/2020,AK,42,6,November
3/25/2020,ND,39,6,December
3/25/2020,MT,53,7,March
3/25/2020,NH,108,7,May
3/25/2020,NE,61,9,January
3/25/2020,SD,41,11,December
3/25/2020,PR,51,12,July
3/25/2020,HI,90,13,October
3/25/2020,WY,44,15,August
3/25/2020,NM,100,17,December
3/25/2020,WV,39,19,March
3/25/2020,IA,145,21,March
3/25/2020,ID,73,23,July
3/25/2020,DE,115,24,January
3/25/2020,ME,149,24,December
3/25/2020,KS,126,28,June
3/25/2020,RI,176,28,December
3/25/2020,KY,157,33,November
3/25/2020,VT,160,35,November
3/25/2020,NV,321,43,April
3/25/2020,DC,183,46,March
3/25/2020,UT,346,47,August
3/25/2020,MS,377,57,April
3/25/2020,MN,502,58,October
3/25/2020,OK,164,58,September
3/25/2020,AR,280,62,April
3/25/2020,AL,283,68,April
3/25/2020,MD,423,74,August
3/25/2020,AZ,450,93,February
3/25/2020,VA,391,101,September
3/25/2020,NC,504,106,May
3/25/2020,IN,477,112,March
3/25/2020,TN,784,117,December
3/25/2020,SC,424,126,December
3/25/2020,OH,704,140,March
3/25/2020,WI,667,142,July
3/25/2020,MO,356,173,April
3/25/2020,CO,912,192,August
3/25/2020,GA,1247,221,February
3/25/2020,CA,2355,253,March
3/25/2020,CT,875,257,July
3/25/2020,FL,1682,270,September
3/25/2020,PA,1127,276,February
3/25/2020,IL,1865,330,August
3/25/2020,LA,1795,407,June
3/25/2020,WA,4492,440,July
3/25/2020,TX,974,564,March
3/25/2020,MA,1739,679,April
3/25/2020,NJ,4402,727,November
3/25/2020,MI,11335,1180,June
3/25/2020,NY,30811,5146,October
