Date,Month Abbr,State,Number of Flights,Positive,Daily Positve Increase,Deaths,Daily Death Increase,Total Tested,Daily Test Increase
7/16/2020,Jul,Arizona,318,134613,3259,2492,58,748491,13307
7/16/2020,Jul,California,1225,356178,8544,7345,118,5915508,122232
7/16/2020,Jul,Colorado,634,38155,469,1601,7,514742,8614
7/16/2020,Jul,Florida,889,315775,13965,4782,156,2815618,79665
7/16/2020,Jul,Georgia,1819,131275,3441,3104,13,1178222,23239
7/16/2020,Jul,Illinois,1915,159082,1257,7452,25,2123739,43006
7/16/2020,Jul,Maryland,223,75664,648,3347,6,867188,16891
7/16/2020,Jul,Massachuttces,488,112581,234,8380,12,1340149,17586
7/16/2020,Jul,Michigan,619,79839,926,6348,18,1395154,27235
7/16/2020,Jul,Minniesota,429,44347,605,1566,8,805212,14715
7/16/2020,Jul,Nevada,235,31915,1447,626,8,370843,6418
7/16/2020,Jul,New Jersey,417,176501,223,15458,31,1759904,17557
7/16/2020,Jul,New York,750,404775,769,25014,11,4921210,72685
7/16/2020,Jul,North Carolina,791,93426,2160,1588,20,1312757,28120
7/16/2020,Jul,Pennsylvania,489,98446,781,6973,16,983641,14992
7/16/2020,Jul,Texas,2187,292656,10291,3561,129,2699855,57656
7/16/2020,Jul,Utah,354,31845,954,234,1,439528,7448
7/16/2020,Jul,Washington,611,48480,825,1421,17,892236,15411
7/17/2020,Jul,Arizona,328,138523,3910,2583,91,764155,15664
7/17/2020,Jul,California,1310,366164,9986,7475,130,6044099,128591
7/17/2020,Jul,Colorado,654,38726,571,1615,14,525680,10938
7/17/2020,Jul,Florida,903,327241,11466,4912,130,2880768,65150
7/17/2020,Jul,Georgia,1884,135183,3908,3132,28,1198678,20456
7/17/2020,Jul,Illinois,1933,160509,1427,7465,13,2167474,43735
7/17/2020,Jul,Maryland,225,76371,707,3359,12,891359,24171
7/17/2020,Jul,Massachuttces,500,112879,298,8402,22,1358139,17990
7/17/2020,Jul,Michigan,614,80593,754,6355,7,1425506,30352
7/17/2020,Jul,Minniesota,427,45013,666,1573,7,819511,14299
7/17/2020,Jul,Nevada,242,33295,1380,637,11,377007,6164
7/17/2020,Jul,New Jersey,407,176551,50,15477,19,1768928,9024
7/17/2020,Jul,New York,767,405551,776,25024,10,4999449,78239
7/17/2020,Jul,North Carolina,798,95477,2051,1606,18,1343974,31217
7/17/2020,Jul,Pennsylvania,491,99478,1032,6992,19,999390,15749
7/17/2020,Jul,Texas,2274,307572,14916,3735,174,2767321,67466
7/17/2020,Jul,Utah,372,32572,727,235,1,447806,8278
7/17/2020,Jul,Washington,564,49358,878,1427,6,908633,16397
7/18/2020,Jul,Arizona,311,141265,2742,2730,147,771991,7836
7/18/2020,Jul,California,1215,375363,9199,7595,120,6167218,123119
7/18/2020,Jul,Colorado,639,39344,618,1615,0,534621,8941
7/18/2020,Jul,Florida,911,337569,10328,5002,90,2931988,51220
7/18/2020,Jul,Georgia,1866,139872,4689,3168,36,1231806,33128
7/18/2020,Jul,Illinois,1922,161785,1276,7483,18,2213573,46099
7/18/2020,Jul,Maryland,211,77206,835,3368,9,909412,18053
7/18/2020,Jul,Massachuttces,485,113238,359,8419,17,1369098,10959
7/18/2020,Jul,Michigan,572,81338,745,6364,9,1456078,30572
7/18/2020,Jul,Minniesota,400,45470,457,1578,5,835962,16451
7/18/2020,Jul,Nevada,214,34477,1182,646,9,382537,5530
7/18/2020,Jul,New Jersey,368,176814,263,15492,15,1781450,12522
7/18/2020,Jul,New York,684,406305,754,25035,11,5069266,69817
7/18/2020,Jul,North Carolina,787,97958,2481,1629,23,1379143,35169
7/18/2020,Jul,Pennsylvania,375,100241,763,7007,15,1012727,13337
7/18/2020,Jul,Texas,2144,317730,10158,3865,130,2842685,75364
7/18/2020,Jul,Utah,343,33332,760,243,8,456240,8434
7/18/2020,Jul,Washington,615,49882,524,1434,7,918320,9687
7/19/2020,Jul,Arizona,310,143624,2359,2761,31,785979,13988
7/19/2020,Jul,California,1282,384692,9329,7685,90,6286852,119634
7/19/2020,Jul,Colorado,622,39788,444,1615,0,543670,9049
7/19/2020,Jul,Florida,906,350047,12478,5091,89,3002641,70653
7/19/2020,Jul,Georgia,1857,143123,3251,3173,5,1255319,23513
7/19/2020,Jul,Illinois,1745,162750,965,7488,5,2245686,32113
7/19/2020,Jul,Maryland,214,78131,925,3377,9,938311,28899
7/19/2020,Jul,Massachuttces,549,113534,296,8431,12,1376714,7616
7/19/2020,Jul,Michigan,569,81868,530,6366,2,1484459,28381
7/19/2020,Jul,Minniesota,417,46204,734,1581,3,853188,17226
