Date,Month Abbr,State,Number of Flights,Positive,Deaths,Total Tested,Increase of Case Per Day by State
8/24/2020,Aug,Arizona,494,198414,4771,1155629,
8/25/2020,Aug,Arizona,450,199273,4792,1160602,859
8/26/2020,Aug,Arizona,446,199459,4896,1165295,186
8/27/2020,Aug,Arizona,496,200139,4929,1173293,680
8/28/2020,Aug,Arizona,496,200658,4978,1182397,519
8/29/2020,Aug,Arizona,448,201287,5007,1190668,629
8/30/2020,Aug,Arizona,454,201661,5030,1197728,374
8/31/2020,Aug,Arizona,477,201835,5029,1202698,174
9/1/2020,Sep,Arizona,446,202342,5044,1207256,507
9/2/2020,Sep,Arizona,476,202861,5065,1212177,519
9/3/2020,Sep,Arizona,529,203953,5130,1221089,1092
9/4/2020,Sep,Arizona,536,204681,5171,1235142,728
9/5/2020,Sep,Arizona,397,205516,5207,1250981,835
9/6/2020,Sep,Arizona,379,205766,5221,1257221,250
9/7/2020,Sep,Arizona,445,205964,5219,1261590,198
9/8/2020,Sep,Arizona,403,206045,5221,1264793,81
9/9/2020,Sep,Arizona,459,206541,5251,1267371,496
9/10/2020,Sep,Arizona,506,207002,5273,1270873,461
9/11/2020,Sep,Arizona,513,207523,5288,1277543,521
9/12/2020,Sep,Arizona,448,208128,5315,1286824,605
9/13/2020,Sep,Arizona,471,208512,5322,1296137,384
9/14/2020,Sep,Arizona,486,208725,5322,1300664,213
9/15/2020,Sep,Arizona,456,209209,5344,1310315,484
9/16/2020,Sep,Arizona,397,209907,5371,1326272,698
9/17/2020,Sep,Arizona,441,211660,5409,1350116,1753
9/18/2020,Sep,Arizona,477,212942,5451,1358154,1282
9/19/2020,Sep,Arizona,447,213551,5467,1368906,609
9/20/2020,Sep,Arizona,477,214018,5476,1379607,467
9/21/2020,Sep,Arizona,489,214251,5478,1386627,233
9/22/2020,Sep,Arizona,101,214846,5498,1396418,595
9/23/2020,Sep,Arizona,258,215284,5525,1405502,438
9/24/2020,Sep,Arizona,505,215852,5559,1415991,568
9/25/2020,Sep,Arizona,505,216367,5587,1423603,515
9/26/2020,Sep,Arizona,450,216826,5622,1434227,459
9/27/2020,Sep,Arizona,423,217237,5623,1443323,411
9/28/2020,Sep,Arizona,169,217510,5623,1448712,273
9/29/2020,Sep,Arizona,459,218184,5632,1453528,674
9/30/2020,Sep,Arizona,467,218507,5650,1457575,323
10/1/2020,Oct,Arizona,513,219212,5674,1471368,705
10/2/2020,Oct,Arizona,533,219763,5693,1478504,551
10/3/2020,Oct,Arizona,455,220399,5705,1488145,636
10/4/2020,Oct,Arizona,497,220754,5706,1496131,355
10/5/2020,Oct,Arizona,510,221070,5707,1502873,316
10/6/2020,Oct,Arizona,476,221934,5713,1511427,864
10/7/2020,Oct,Arizona,491,222538,5733,1518694,604
10/8/2020,Oct,Arizona,549,223401,5743,1531095,863
10/9/2020,Oct,Arizona,549,224084,5746,1543445,683
10/10/2020,Oct,Arizona,486,224978,5759,1556015,894
10/11/2020,Oct,Arizona,529,225575,5759,1566165,597
10/12/2020,Oct,Arizona,549,226050,5759,1574200,475
10/13/2020,Oct,Arizona,494,226734,5767,1581151,684
10/14/2020,Oct,Arizona,492,227635,5772,1589202,901
10/15/2020,Oct,Arizona,543,228748,5789,1601033,1113
10/16/2020,Oct,Arizona,569,229486,5806,1609380,738
10/17/2020,Oct,Arizona,83,230407,5824,1620703,921
10/18/2020,Oct,Arizona,536,231149,5827,1631023,742
10/19/2020,Oct,Arizona,542,231897,5830,1639785,748
10/20/2020,Oct,Arizona,489,232937,5837,1647345,1040
10/21/2020,Oct,Arizona,491,233912,5854,1657389,975
10/22/2020,Oct,Arizona,339,234906,5859,1668562,994
8/24/2020,Aug,California,1998,668615,12152,10652487,
8/25/2020,Aug,California,1852,673095,12257,10762506,4480
8/26/2020,Aug,California,1829,679099,12407,10832757,6004
8/27/2020,Aug,California,1941,683529,12550,10918415,4430
8/28/2020,Aug,California,1996,688858,12690,11010637,5329
8/29/2020,Aug,California,1862,693839,12834,11109630,4981
8/30/2020,Aug,California,1981,699909,12905,11231829,6070
8/31/2020,Aug,California,1999,704085,12933,11373305,4176
9/1/2020,Sep,California,1925,707797,13018,11470696,3712
9/2/2020,Sep,California,1931,712052,13163,11580370,4255
9/3/2020,Sep,California,2086,717177,13327,11663924,5125
9/4/2020,Sep,California,2139,722283,13490,11796970,5106
9/5/2020,Sep,California,1905,727239,13643,11916323,4956
9/6/2020,Sep,California,1894,732144,13709,12047191,4905
9/7/2020,Sep,California,2027,735235,13726,12158292,3091
9/8/2020,Sep,California,1720,737911,13758,12267948,2676
9/9/2020,Sep,California,1831,739527,13841,12343797,1616
9/10/2020,Sep,California,1952,742865,13978,12389991,3338
9/11/2020,Sep,California,2021,746191,14089,12451660,3326
9/12/2020,Sep,California,1890,750298,14251,12556967,4107
9/13/2020,Sep,California,2015,754923,14329,12690016,4625
9/14/2020,Sep,California,1939,757778,14385,12806189,2855
9/15/2020,Sep,California,1763,760013,14451,12928170,2235
9/16/2020,Sep,California,1498,762963,14615,13000522,2950
9/17/2020,Sep,California,1782,766201,14721,13080037,3238
9/18/2020,Sep,California,1874,769831,14812,13177186,3630
9/19/2020,Sep,California,1854,774135,14912,13343886,4304
9/20/2020,Sep,California,1980,778400,14987,13523158,4265
9/21/2020,Sep,California,1847,781694,15018,13672782,3294
9/22/2020,Sep,California,593,784324,15071,13804055,2630
9/23/2020,Sep,California,1276,787470,15204,13879423,3146
9/24/2020,Sep,California,1904,790640,15314,13952857,3170
9/25/2020,Sep,California,1929,794040,15398,14052247,3400
